addr,code,latitude,longitude,name,type
"충청남도 홍성군 갈산면 상촌로 12-1,",34840559,36.6029863,126.5489114,신신약국,01
대구광역시 달서구 달구벌대로 1736 1층 (두류동),37844571,35.856678,128.5552778,밝은온누리약국,01
충청남도 보령시 남대천로 58 (대천동),34833323,36.3487417,126.5935343,지애약국,01
경북 고령군 쌍림면 대가야로 608 ,5038300744,35.6791963,128.2422529,고령쌍림우체국,02
부산광역시 금정구 서동로 168 송월빌딩 1층 102호 (서동),21839824,35.2144484,129.1047754,굿모닝약국,01
경상남도 함양군 함양읍 한들로 143,38827077,35.5197038,127.7321179,평화약국,01
충청남도 태안군 태안읍 중앙로 33 (한국통신),34831185,36.755742,126.293988,이화약국,01
서울특별시 강남구 압구정로 108 1층 7호 (신사동),11889446,37.5228904,127.0206138,가로수길약국,01
대구광역시 달성군 화원읍 비슬로 2582,37827219,35.8035575,128.4993463,화원약국,01
서울특별시 중구 동호로 171 (신당동),11836890,37.5534585,127.0112461,다나약국,01
"대구광역시 달성군 유가읍 테크노순환로12길 4 111,112호",37849310,35.6932874,128.4706272,메가약국,01
부산광역시 사하구 다대로 616 (다대동),21831823,35.0516343,128.9704974,팜뱅크한마음약국,01
강원도 삼척시 오십천로 419 (남양동),32809239,37.4408975,129.1643611,삼척종로약국,01
"서울특별시 동대문구 천호대로83길 43-1, 1층 (장안동)",12842729,37.5641695,127.0651724,장안수약국,01
전라북도 임실군 관촌면 사선로 40,35812346,35.6741074,127.2706129,관촌약국,01
대전광역시 서구 관저로 27 102호 (관저동),34843132,36.2967693,127.3261342,365스마일약국,01
서울특별시 금천구 시흥대로 473 (독산동),12830500,37.4759429,126.8980969,명약국,01
대구광역시 수성구 수성로 244 (중동),37801970,35.8472471,128.613155,우성약국,01
서울특별시 서대문구 수색로 56 성공타워1 407호 (북가좌동),12847402,37.5708721,126.9123057,새서울DMC약국,01
대구광역시 수성구 지범로 188 (범물동),37834797,35.8208067,128.6395092,뉴월드약국,01
충남 금산군 금산읍 상리 260-10,3058219768,36.1104599,127.4869379,금산농협하나로마트비호점,03
충청북도 청주시 상당구 청남로 2183 (석교동),33800332,36.6267537,127.489921,삼장약국,01
인천광역시 부평구 경인로1104번길 6 (부개동),31864503,37.4855597,126.7422469,인과원약국,01
대전광역시 유성구 신성로72번길 66 1층 (신성동),34841661,36.3871393,127.3502233,하연약국,01
경기도 고양시 일산서구 중앙로 1564 그린월드 403-1호 (대화동),41845030,37.6762119,126.7482744,다나약국,01
경기도 성남시 수정구 수정북로13번길 2 (태평동),31837000,37.4417341,127.1312167,메디칼왕약국,01
충청남도 보령시 대천로 17 (대천동),34831789,36.3505526,126.5968054,비타민약국,01
울산광역시 남구 문수로 331 1층 (옥동),38810832,35.535473,129.2898058,대웅약국,01
충청북도 청주시 서원구 사직대로265번길 3 (사직동),33802092,36.6359037,127.4769135,참사랑약국,01
충청남도 서산시 지곡면 충의로 1192,34828907,36.8739362,126.4381326,지곡백화점약국,01
서울특별시 강남구 강남대로 476 urbanhive 지하2층 (논현동),12843032,37.5049158,127.0248029,신논현비비약국,01
충청남도 천안시 동남구 만남로 42 1층 (신부동),34820680,36.8186186,127.1568577,동행약국,01
부산광역시 기장군 정관면 정관로 570 209호,21842809,35.321036,129.1758748,큰사랑약국,01
강원도 강릉시 율곡로 2791 (성남동),32816197,37.7540661,128.9009344,믿음약국,01
"경기도 수원시 권선구 금곡로 202 108호 (금곡동, e-SPACECITY-1)",41801717,37.2734821,126.9526872,수약국,01
경기도 안양시 만안구 명학로 34 1층 (안양동),41823711,37.3796731,126.9367128,중앙약국,01
강원도 양구군 양구읍 중심로 157,32816138,38.1044361,127.9907856,양구종합약국,01
대전광역시 서구 한밭대로 745 지하2층 (둔산동),34800581,36.3582076,127.3818691,보리약국,01
전남 진도군 임회면 삼막리238,4158211836,34.426863,126.2321181,서진도농협하나로마트광석점,03
서울특별시 양천구 신월로 341 4층 (신정동),12862916,37.5220063,126.8588763,미그린약국,01
전라북도 전주시 완산구 온고을로 18 (서신동),35814659,35.8341582,127.1210319,전주온누리약국,01
"제주특별자치도 서귀포시 천제연로 210-1, (중문동)",39803601,33.2514704,126.4270424,한마음약국,01
전라북도 김제시 요촌동1길 14 (요촌동),35821256,35.8051198,126.8947853,다스림한약국,01
"경상남도 양산시 삼호로 74 116동 (삼호동, 웅상신도시푸르지오아파트)",38808251,35.4064581,129.1724279,비타약국,01
경상남도 김해시 인제로 163 2층 (어방동),38822857,35.2431376,128.903598,신영약국,01
광주광역시 광산구 사암로 275 1층 (월곡동),36835463,35.1689463,126.8087583,한소망약국,01
"전라북도 정읍시 중앙로 152 (시기동, 트윈클악세사리)",35815809,35.5654592,126.8548042,내장산약국,01
대구광역시 남구 중앙대로29길 27 (대명동),37811461,35.8460022,128.5888139,대학당약국,01
"전라북도 익산시 인북로 290-2, (남중동)",35800771,35.9542542,126.9596974,건강약국,01
